text,lang,date
RT @ake2306: You should see what AstraZeneca can do to you. Just look at my profile picture and see what is missing?,en,2022-03-29 15:05:25
"@WinterOakPress Interesting to note that former general sec of @unisontheunion is a trustee of Institute for Public Policy Research
- funded by AstraZeneca amongst other Big Pharma and JPMorgan etc - I wonder if they had any influence on him during his tenure last year?",en,2022-03-29 15:03:18
"@Donna4Rainhill pls RT
https://t.co/jJATuEXC7q
https://t.co/KmEjKDRaaI https://t.co/0De7ZV8hU0",en,2022-03-29 15:02:54
"There is a lot of theory around ecosystems, but what does it translate to in organizations? 

Watch an exciting discussion feat. @JKKjanka of co-shift, @AndreaContri of @HaierEurope, @AnkvanWylick of 42Collective, and Pernilla Isberg of @AstraZeneca!

https://t.co/NgqYKIXwvf",en,2022-03-29 15:01:11
"Everyone should know their kidney health. There are common risk factors to consider, and it only takes one minute to help assess if you are at risk. Learn from our sponsored article with @Guardian why now is the time to check your kidneys. https://t.co/mfrrWy7yPt https://t.co/AkVK1CKu58",en,2022-03-29 15:00:05
"@jessbrammar pls RT
https://t.co/jJATuEXC7q
https://t.co/KmEjKDRaaI https://t.co/ShFtFCFVJZ",en,2022-03-29 14:59:50
pinche astrazeneca,en,2022-03-29 14:56:27
"RT @VigoLartes: $100 || 8 hours 

➡️ RT &amp; Follow • @PicadogsNFT",en,2022-03-29 14:56:27
Here’s the Oxford AstraZeneca vaccine team at the ⁦@oxfordlitfest⁩ last night - a remarkable occasion. 👏🏼👏🏼👏🏼 https://t.co/TKGLqI39us,en,2022-03-29 14:53:30
"RT @kong_jt: @BradfatherSpeak @Michael20224 The miraculous vaccine neither stops transmission nor infection &amp; therefore, per the clinical d…",en,2022-03-29 14:52:37
"RT @MFA_Austria: During his #CentralAsia journey, FM @LinhartBMEIA announced today the 🇦🇹 donation of 150,000 doses each of AstraZeneca’s #…",en,2022-03-29 14:51:10
"RT @MFA_Austria: With today’s shipment of 956,550 doses of the #AstraZeneca-vaccine, Austria keeps its promise of solidarity &amp; cooperation.…",en,2022-03-29 14:49:02
"RT @PythonWeekly: ChemicalX - A deep learning library for drug-drug interaction, polypharmacy side effect, and synergy prediction. https://…",en,2022-03-29 14:46:41
"Heart inflammation is a known rare side effect of mRNA vaccines.

It definitely can happen which is why I took Astrazeneca (I had myocarditis once and didn't want the risk of going through that again). https://t.co/7cRji6Z2qK",en,2022-03-29 14:45:26
"RT @royalsociety: Join us online tomorrow for the first day of our #TransformingOurFuture conference on the science of #COVID19, supported…",en,2022-03-29 14:41:05
"""Public and charitable financing accounted for 97% of identifiable funding underlying the Oxford–AstraZeneca vaccine"" 
Read the recently published research from UAEM UK members highlighting the vital role of public funding and the need for a #PeoplesVaccine ⬇️
@peoplesvaccine https://t.co/7zAJV2oVSc",en,2022-03-29 14:36:39
"""AstraZeneca"", ""Sputnik"" vaccines face hurdle's if COVID shots become annual /affair % TWTR-VncFGLWlfd 143313",en,2022-03-29 14:33:13
52-Week High Alert: Trading today’s movement in ASTRAZENECA $AZN https://t.co/RUX8bGoawH,en,2022-03-29 14:33:02
@NickPaperwork @NickForVA @kathygriffin I've never had a flu shot. Never had the flu. I got the Astrazeneca vaccine and I have been ill for over 4 months after having an adverse reaction. Multiple stays in hospital. No clear end in sight. It is not a safe option for a significant minority of people.,en,2022-03-29 14:33:00
"RT @seyeabimbola: ""Who funded the research behind the Oxford–AstraZeneca COVID-19 vaccine?""

New in @GlobalHealthBMJ by @rhiannon_osborn et…",en,2022-03-29 14:30:40
"@EmerDemeza pls RT #evusheld 
https://t.co/jJATuEXC7q
https://t.co/KmEjKDRaaI https://t.co/KGYToNZJ4C",en,2022-03-29 14:29:30
RT @ake2306: You should see what AstraZeneca can do to you. Just look at my profile picture and see what is missing?,en,2022-03-29 14:27:12
RT @ake2306: You should see what AstraZeneca can do to you. Just look at my profile picture and see what is missing?,en,2022-03-29 14:24:53
"RT @A100888: $100 • 24 Hours - RT
Follow @RichQuack ($70)

(+$30) if 
Rt Like +comment something good with #RichQUACK on their📌 (New Proof)…",en,2022-03-29 14:24:18
"RT @A100888: $10 • 15 mins - Rt+Rt📌

9.40pm",en,2022-03-29 14:24:09
"RT @nftmoonwalkers: Moonwalkers landing soon. #solana

Engage on this post for a surprise.💫 https://t.co/DawOkdrkcN",en,2022-03-29 14:23:28
"RT @cikakohl: giveaway $3.5 | Rp50.000,-

🍧 RT &amp; Follow @sydneybigwin

end 60 mins!",en,2022-03-29 14:22:54
"RT @SafeMoonRich: I picked some surprise DM winners, thanks for all actives🔔❤️",en,2022-03-29 14:22:21
"RT @royalsociety: Join us online tomorrow for the first day of our #TransformingOurFuture conference on the science of #COVID19, supported…",en,2022-03-29 14:20:26
"RT @Sayzqo: $100 || 1,4 JT • 180 MINS  

- RT &amp; Follow 🔔",en,2022-03-29 14:19:20
"Latest Job! Science and Engagement Associate Director, CPSS
 - AstraZeneca
 - Cambridgeshire, Cambridge, England
Find Out More! https://t.co/CAJTYxOYCq https://t.co/dQNd41Ithc",en,2022-03-29 14:19:16
"Join us online tomorrow for the first day of our #TransformingOurFuture conference on the science of #COVID19, supported by @AstraZeneca. Join the stream from 9am to explore the basic science of COVID, vaccines and diagnostics, and get involved on Slido: https://t.co/dxeFEv0Agf https://t.co/bbwzVj2YVO",en,2022-03-29 14:19:01
@SafeMoonRich manifesting use #WonByRich today...i need money USG,en,2022-03-29 14:17:48
@kuyawat soft green,en,2022-03-29 14:14:21
"Pharma, Diagnostic, Hospital Stocks 52WK-L in today's session (29/3/22)

Aarti Drugs
Alembic Ltd
AstraZeneca Pharma
Anuh Pharma
Bliss GVS
Fermenta Bio
Krsnaa Diagnostic
Neuland Lab
PGHL
Thyrocare
Windlas Biotech
Wockhardt Pharma 

Disc : Information Only
#StockMarketIndia",en,2022-03-29 14:14:00
"RT @cikakohl: giveaway $3.5 | Rp50.000,-

☃ RT &amp; Follow @NinangAnne 🔔

end 60 mins!",en,2022-03-29 14:11:20
"RT @furrincrypto: $50 ~ 12 HOURS 🚟

-RT &amp; Follow 

@BitcoinClimber
@CryptoPunksSign
@Block_Reporter",en,2022-03-29 14:11:05
RT @missufe: @lilsehoon hampir kaget 😤,en,2022-03-29 14:10:12
"RT @mikaidev: $50 - 8 Hours

✅RT + 🔔",en,2022-03-29 14:09:02
"RT @jinjimetaX: $50 in 50 minutes ⛩️

RT + Follow me 💗",en,2022-03-29 14:07:34
"RT @yournangel: GIVEAWAY $10 | 140.000 IDR | 60MINS🧚‍♀️

— rt, like &amp; follow @CryptooBeast +🔔",en,2022-03-29 14:07:10
"RT @TweetsJoshiji: @Swamy39 @ArtiSharma001 @jagdishshetty when nobody stood for COVAXIN, Dr. Swamy stood for it. I remember the month, of J…",en,2022-03-29 14:05:28
"RT @DaJenus: $200 ~ 3 Hours

✅RT + 🔔",en,2022-03-29 14:03:20
"Huma has acquired AstraZeneca’s digital health platform, and AstraZeneca has become a shareholder of Huma in a partnership to accelerate digital-first patient care.

Read full article here: https://t.co/GdebOs5k7O",en,2022-03-29 14:01:21
RT @cardiomet_CE: 2) This program is intended for #healthcare providers &amp; is accredited for 0.5h CE/#CME for #physicians #PhysicianAssociat…,en,2022-03-29 14:00:56
"If you've been waiting to get an AstraZeneca COVID19 vaccination, we now have them on a Wednesday - our next one is on TOMORROW at Salford Royal Mayo from 08:30am - 4:00pm.

Full list of upcoming non-AstraZeneca vaccination clinics: https://t.co/4RcboCxHgB https://t.co/JWJGxsEtps",en,2022-03-29 14:00:49
"If you've been waiting to get an AstraZeneca #COVID19 vaccination, we now have them on a Wednesday - our next one is on TOMORROW at Salford Royal Mayo from 08:30am - 4:00pm.

Full list of upcoming non-AstraZeneca vaccination clinics: https://t.co/Ud4XEkfhWB https://t.co/SVjCIckiNf",en,2022-03-29 14:00:39
"If you've been waiting to get an #AstraZeneca #COVID19 vaccination, we now have them on a Wednesday - our next one is on TOMORROW at Salford Royal Mayo from 08:30am - 4:00pm.

Full list of upcoming non-AstraZeneca vaccination clinics: https://t.co/s1Ru72qCpI https://t.co/1cpgCryZUE",en,2022-03-29 14:00:37
"RT @missufe: $100 (2 Winners) • RT IN 5 MINS 🥳

winner is number 8 &amp; 42 on list pickaw",en,2022-03-29 13:54:34
"RT @hibbsy1973: Shocking! And this is the minister for patient safety and care, blocking patients damaged by the Vax.
I was blocked by Astr…",en,2022-03-29 13:53:11
"RT @cikakohl: giveaway $3.5 | Rp50.000,-

🍒 RT &amp; Follow @dear_xavanna 

end 60 mins!",en,2022-03-29 13:47:59
RT @Azianoona: RETWEET IN 300 SECONDS 🔥,en,2022-03-29 13:47:19
RT @ToriPlum86: One year ago today my Mum had her Astrazeneca which caused seizures and post-vaccinal encephalitis. Grateful she is still h…,en,2022-03-29 13:46:50
"RT @iyagirL2016: $20 or 280rb Giveaway 🐷

RT + Follow me",en,2022-03-29 13:46:46
@ToriPlum86 @garetheve @YardleyShooting @encephalitis Are you based in the #UK ? If so what batch number did she have ? I have quite a few bad batches that have been identified- I’m so sorry to hear of yet another vaccine victim - the AstraZeneca has now been rebranded - did you know ? Did you report it ? https://t.co/f1h8MYa1n9,en,2022-03-29 13:46:45
"RT @vallerynaa: $15 | 210K ~ 3 HOURS🍷

RT like &amp; follow @JayTheGaHost 🔔",en,2022-03-29 13:46:33
"RT @chitaglorya__: giveaway 75$ | 1,050,000 IDR

-- rt &amp; follow @DirtyLittleAlts 

ends in 5 hours good luck 🍒",en,2022-03-29 13:46:24
"RT @Nonoozzzz: $50 • 5 min 🐾 

RT + 🔔 Proof",en,2022-03-29 13:46:03
RT @benita_regardso: @Jennifer_Arcuri My mum had a stroke a week after having the astrazeneca vaccine 2nd dose she has lost control of her…,en,2022-03-29 13:43:16
RT @GregDore2: The bigger story is the trashing of the highly effective locally produced AstraZeneca vaccine by many in medical profession…,en,2022-03-29 13:43:01
RT @kuyawat: $7 | RT in 5 MINS 🥰,en,2022-03-29 13:42:51
"RT @reneziv: $30 | 420K - 3 HOURS

RT like &amp; Follow @milapromot",en,2022-03-29 13:41:19
"RT @reneziv: $30 | 420K - 3 HOURS

RT like &amp; Follow me",en,2022-03-29 13:41:09
"Latest Job! International Payroll Analyst
 - AstraZeneca
 - Poland, Warsaw, Masovia
Find Out More! https://t.co/OORor1zpOj https://t.co/DwVKQ63fI2",en,2022-03-29 13:39:37
"RT @HwanniePromotes: $75 || 1,05 JT in 5 HOURS

- RT &amp; Follow (🔔)

@kirstingives + @avajitz",en,2022-03-29 13:39:13
"RT @TweetsJoshiji: @Swamy39 @ArtiSharma001 @jagdishshetty when nobody stood for COVAXIN, Dr. Swamy stood for it. I remember the month, of J…",en,2022-03-29 13:39:07
RT @kuyawat: $5 | RT in 120 S 💃🏻,en,2022-03-29 13:38:29
One year ago today my Mum had her Astrazeneca which caused seizures and post-vaccinal encephalitis. Grateful she is still here as I know many others weren't as lucky 💗 @julesserkin @garetheve @YardleyShooting @encephalitis,en,2022-03-29 13:37:54
RT @FortuneMagazine: New drug that prevents you from catching COVID-19 given green light in Europe https://t.co/mnt3gPzURp,en,2022-03-29 13:37:32
"RT @mikaidev: 🎁 100$ - 1 Winner 🎁
→ Ending in 24 HS 🕐 

✅ Follow → @nftplumberz 
✅ Join discord → https://t.co/LKoIQHQH8r

👇Proof 

Let's g…",en,2022-03-29 13:37:08
"RT @chitaglorya__: giveaway 75$ | 1,050,000 IDR

-- rt follow @mikaidev + rt📌

ends in 5 hours good luck 🍒",en,2022-03-29 13:37:00
