text,lang,date
RT @backtolife_2022: Pfizer CEO Albert Bourla said he spoke personally with Zelensky about their low vaccination rate https://t.co/3S6cbg76…,en,2022-04-01 12:37:42
"Great to see the contribution of the fine Staffordshire Moorlands town of Leek to the world covid vaccine effort recognised. 
For some scientific background to @Crodaplc's contribution to the Pfizer/BioNtech vaccine, see this old blogpost of mine:
https://t.co/uXlkGjp8hR https://t.co/435tyZPaEN",en,2022-04-01 12:37:41
"RT @vaxreports1: #Pfizer 

2,659 reports of Alopecia 
(hair loss disorder)

2,337 were female

275 were male

10 in the 3-11yo

46 in the 1…",en,2022-04-01 12:37:40
"RT @vaxreports1: #Pfizer 
Children are being found dead &amp; new born babys are having stokes and  brain hemorrhage's
Scroll down my page ⬇️an…",en,2022-04-01 12:37:35
"@Quantumleeping @SonOfNgqika @AswegenElvera @nickhedley @News24 @CowansView No he did  not invest 3 bilion in  biontech / BNTX, that's a German co partnered with pfizer . His co is immunityBIO.",en,2022-04-01 12:37:32
"RT @MeetKarma45: A short story from Sydney, Australia. #VaccineSideEffects #pfizer https://t.co/EptCwsGzsl",en,2022-04-01 12:37:31
"RT @IamBrookJackson: Pfizer, Ventavia &amp; ICON have all been served! Response to the complaint due Apr 6th. Here come the motions to dismiss!…",en,2022-04-01 12:37:31
RT @MeetKarma45: Secret vaccine contracts with governments have some surprises... #Pfizer https://t.co/NQDHlr4Udd,en,2022-04-01 12:37:26
"@SquawkCNBC @ScottGottliebMD Breaking on Pfizer TV this morning.

Millions of people died yesterday from COVID.  You just can't see it.

Stay in your caves.  The world is ending. https://t.co/gVyZd9P8V2",en,2022-04-01 12:37:25
"RT @real_GGoswami: 🚨Feb 2022 TGA DAEN Stats🚨
Medicine suspected - #Pfizer 
Abortion spontaneous - 9
Stillbirth - 1
Premature baby - 1
Prema…",en,2022-04-01 12:37:17
"RT @AoxiPRNew: While the world is distracted the #Ukraine #Russia War, #Pfizer has been ordered to declassify the report it wants to over 7…",en,2022-04-01 12:37:13
RT @nationalpost: WHO: Pfizer vaccine potentially linked to hearing loss https://t.co/pPrxjhxn30,en,2022-04-01 12:37:11
"@AdamKinzinger @GOPLeader Why don’t you worry more about the truth behind Biden’s dealings in #Ukraine.  His son is a national calamity. Biden’s farma dealing in Guatemala were also corrupt, lobbying for #baxter.  #Pfizer also probably has him in their pocket. So many deaths caused by Biden.",en,2022-04-01 12:37:10
"RT @SamWhiteNight: @nickr2211 I'm lining up for my 4th booster, and when i get my 5th, I'm eligible for a loyalty reward bonus and I get a…",en,2022-04-01 12:37:07
RT @nationalpost: WHO: Pfizer vaccine potentially linked to hearing loss https://t.co/pPrxjhxn30,en,2022-04-01 12:37:05
RT @RobertKennedyJr: Peer-reviewed study shows more than 2/3 of adolescents with COVID vaccine-related myopericarditis had persistent heart…,en,2022-04-01 12:37:03
RT @seontotta: #Pfizer is playing you all https://t.co/McHyDqVNN6,en,2022-04-01 12:37:02
@ScottSours2 #Pfizer is responsible for the largest fine in pharmaceutical history and the amount is yet to be determined! 😳,en,2022-04-01 12:36:57
"RT @DaleLenton: @GBNEWS They won't be sticking that shit in me again, I'm 27, healthy and had a mild heart attack after two shots of Pfizer!",en,2022-04-01 12:36:45
RT @Jesus_porvida: It’s literally all coming out 💔 people are seeing that these vaccines were fake and killing…I have 2 clients who lost th…,en,2022-04-01 12:36:41
RT @momnomanon: So Pfizer(sponsored Oscars) has a new Alopecia drug ready for March 2022. And y’all think that slap wasn’t a setup. 🤦🏼‍♀️ #…,en,2022-04-01 12:36:37
RT @Caroline_Connor: Next lot of Pfizer docs out tonight..... I wonder what surprises this next lot will have 🤔,en,2022-04-01 12:36:33
RT @AFaktow: Two people from my vaccine injury support group commited suicide because of debilitating symptoms and gaslighting. I'm devasta…,en,2022-04-01 12:36:33
FDA Took $3 Million Bribe for Pfizer’s COVID-19 Jab Approval https://t.co/4c4BfOnBlr,en,2022-04-01 12:36:29
"RT @BRebellion777: #Pfizer 
This man was forced to get [po💉soned] by December 3, 2021 or his employer would consider him “voluntarily resig…",en,2022-04-01 12:36:24
RT @AFaktow: Two people from my vaccine injury support group commited suicide because of debilitating symptoms and gaslighting. I'm devasta…,en,2022-04-01 12:36:20
"RT @vaxreports1: 315 reports of respiratory arrest #Pfizer 

4 reports 3-11 yo
10 reports - 12-17 yo

20 reports of not recovered

151 were…",en,2022-04-01 12:36:16
"RT @45Tara24: Pfizer Could Lose Liability Protection and Be Sued if the Deaths Are Proven as Willful

Thomas Renz: ""I don't know how much m…",en,2022-04-01 12:36:14
RT @nationalpost: WHO: Pfizer vaccine potentially linked to hearing loss https://t.co/pPrxjhxn30,en,2022-04-01 12:36:13
"RT @IamBrookJackson: Pfizer, Ventavia &amp; ICON have all been served! Response to the complaint due Apr 6th. Here come the motions to dismiss!…",en,2022-04-01 12:36:10
RT @BipolarMe81: 🚩70 members of the Pfizer💉 investment board are  members of the Chinese Communist Party.😑🐑‼️,en,2022-04-01 12:36:07
"RT @IamBrookJackson: Pfizer, Ventavia &amp; ICON have all been served! Response to the complaint due Apr 6th. Here come the motions to dismiss!…",en,2022-04-01 12:36:01
RT @nationalpost: WHO: Pfizer vaccine potentially linked to hearing loss https://t.co/pPrxjhxn30,en,2022-04-01 12:36:01
@1210WPHT @mkhammer @Richzeoli Pfizer is putting out a new alopecia drug. They are in phase 2 trials. Pfizer was a sponsor of the Oscar’s. The joke and slap heard around the world brought new attention to alopecia!! But all just a coincidence!!!!,en,2022-04-01 12:35:57
"RT @DxGuySA: What constitutional rights and freedoms are threatened by the National Health Act amendment bill? 

#NoToHealthActAmendment  #…",en,2022-04-01 12:35:51
"RT @zoospacer: Athletes are dropping like flies. Why is there no investigation, or even acknowledgment or concern? #coincidence #heartattac…",en,2022-04-01 12:35:46
RT @nationalpost: WHO: Pfizer vaccine potentially linked to hearing loss https://t.co/pPrxjhxn30,en,2022-04-01 12:35:44
RT @Jadorejadore22: #Pfizer PUBLIC WARNING: 2 teen boys die in their sleep days after their 2nd Pfizer jab. Epidemiologist confirms the inj…,en,2022-04-01 12:35:43
